ID;Nome;Incorporadora;Bairro;Cidade;UF;Endereco;Status;Area_Min_m2;Area_Max_m2;Preco_Min;Preco_Max;Quartos;Suites;Vagas;Previsao_Entrega;Contato_Nome;Telefone;Email;WhatsApp;Comissao_PJ_%;Comissao_PF_%;Total_Unidades;Andares;Estoque;Data_Lancamento;Descricao;Website;Qtd_Arquivos;Apresentacoes;Books;Folders;Tabelas;URL_Orulo
"4990";"Vila Bela - Residencial";"Performance";"Vila Isabel";"Rio de Janeiro";"RJ";"Rua Mendes Tavares 20";"Pronto novo";"65.72";"65.72";"394320";"";"";"";"";"";"Bruno Oliveira";"(21) 96725-7440";"bo@comercialperformance.com.br";"(21) 96725-7440";"3.5";"";"60";"";"1";"01/12/2014";"O Empreendimento possui ótima estrutura rurbanística proporcionando aos seu moradores acesso a supermercados, shopping Centres, restaurantes, agencias bancárias e praças da região. Preço e disponibili";"";"1";"";"";"";"Vila_Bela_-_Residencial_Tabela_tabela_vila_bela_-_residencial_abril_2026.pdf";"https://www.orulo.com.br/buildings/4990"
"4991";"Vila Bela - Lojas";"Performance";"Vila Isabel";"Rio de Janeiro";"RJ";"Rua Mendes Tavares 20";"Pronto novo";"78.8";"118.76";"394000";"";"";"";"";"";"Bruno Oliveira";"(21) 96725-7440";"bo@comercialperformance.com.br";"(21) 96725-7440";"3.5";"";"5";"";"5";"01/12/2014";"O empreendimento ossui 5 lojas com acessos independentes. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"Vila_Bela_-_Lojas_Tabela_tabela_vila_bela_-_lojas_abril_2026.pdf";"https://www.orulo.com.br/buildings/4991"
"5169";"Assembleia One - Comercial";"Even RJ";"Centro";"Rio de Janeiro";"RJ";"Rua Da Assembleia 85";"Pronto novo";"48.97";"48.97";"1770740";"";"";"";"";"";"Brandão";"21 96689-6927";"";"21 96689-6927";"3.2";"";"155";"";"1";"01/11/2014";"SUA MELHOR OPÇÃO NO CENTRO DO RIO. A 200 metros do Edifício Garagem Menezes Cortes e a 400m do Metrô Carioca. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"Assembleia_One_-_Comercial_Tabela_tabela_assembleia_one_-_comercial_abril_2026.pdf";"https://www.orulo.com.br/buildings/5169"
"5171";"Quinta Park";"Performance";"São Cristóvão";"Rio de Janeiro";"RJ";"Rua Almirante Baltazar 333";"Pronto novo";"24.39";"24.39";"121950";"";"";"";"";"";"Bruno Oliveira";"(21) 96725-7440";"bo@comercialperformance.com.br";"(21) 96725-7440";"3.5";"";"266";"";"1";"01/10/2015";"Conheça o empreendimento de salas comerciais ao lado do Hospital Quinta D’Or. Assim como o DNA representa o princípio da formação de um todo, também significa uma reunião de características particular";"";"1";"";"";"";"Quinta_Park_Tabela_tabela_quinta_park_abril_2026.pdf";"https://www.orulo.com.br/buildings/5171"
"5378";"UP Barra Mais Condomínio Clube";"Even RJ";"Jacarepaguá";"Rio de Janeiro";"RJ";"Estrada Do Engenho D'água 1401";"Pronto novo";"61.45";"70";"566640";"";"";"";"";"";"Brandão";"21 96689-6927";"";"21 96689-6927";"3.2";"";"382";"";"2";"01/09/2014";"Ofereça o melhor pra quem você mais ama. Venha morar no UP Barra Mais. Apartamentos 2 e 3 quartos com suíte, pertinho da praia da Barra. Aproveite mais os momentos juntos. Viva com mais conforto e seg";"";"1";"";"";"";"UP_Barra_Mais_Condomnio_Clube_Tabela_tabela_up_barra_mais_condominio_clube_abril_2026.pdf";"https://www.orulo.com.br/buildings/5378"
"16986";"Prime Design Offices";"Even RJ";"Jacarepaguá";"Rio de Janeiro";"RJ";"Estrada Coronel Pedro Corrêa 740";"Pronto novo";"25.95";"25.95";"530960";"";"";"";"";"";"Brandão";"21 96689-6927";"";"21 96689-6927";"3.2";"";"259";"";"1";"01/11/2011";"Salas comerciais e lojas em Jacarepaguá. Traga seu negócio para o melhor preço da região. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"Prime_Design_Offices_Tabela_tabela_prime_design_offices_abril_2026.pdf";"https://www.orulo.com.br/buildings/16986"
"22088";"Residencial Brindisi";"Belletti Engenharia";"Botafogo";"Rio de Janeiro";"RJ";"Rua da passagem 23";"Pronto novo";"88";"97";"1172000";"";"";"";"";"";"Sergio ";"(21) 98896-9523";"";"(21) 98896-9523";"4.2";"";"12";"";"3";"01/03/2012";"Um lugar único para tornar seus dias inspiradores. Você está a 200 metros do metrô, próximo à supermercado, dois shoppings, academia, restaurantes e facilidade de locomoção para todas as regiões da ci";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/22088"
"22390";"Blanc 260 - Loja";"Opportunity";"Botafogo";"Rio de Janeiro";"RJ";"Rua Assunção 260";"Em construção";"80.28";"80.28";"2288561.61";"";"";"";"";"";"Claudio Guimaraes";"(21) 97259-8118";"claudioaguimaraes@hotmail.com";"(21) 97259-8118";"4";"";"1";"";"1";"01/12/2020";"Uma loja em excelente localização. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"Blanc_260_-_Loja_Tabela_tabela_blanc_260_-_loja_abril_2026.pdf";"https://www.orulo.com.br/buildings/22390"
"24890";"All Jardim Oceânico";"Opportunity";"Barra da Tijuca";"Rio de Janeiro";"RJ";"Avenida Nuta James 877";"Pronto novo";"144.96";"154.73";"2359188.35";"";"";"";"";"";"Camila";"(21) 3804-3862";"cbuss@opportunity.com.br";"(21) 3804-3862";"4";"";"120";"";"5";"01/10/2021";"Um empreendimento de alto padrão perfeito para você e sua família. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"All_Jardim_Ocenico_Tabela_tabela_all_jardim_oceanico_abril_2026.pdf";"https://www.orulo.com.br/buildings/24890"
"28125";"Tiê Tijuca - Fase 1";"Opportunity";"Tijuca";"Rio de Janeiro";"RJ";"Rua Homem de Melo 169";"Pronto novo";"76.65";"134.44";"1106095.56";"";"";"";"";"";"Claudio Guimaraes";"(21) 97259-8118";"claudioaguimaraes@hotmail.com";"(21) 97259-8118";"4";"";"177";"";"50";"12/02/2022";"Viver no Tiê é pousar com a sua família em uma vida de lazer, segurança e conforto. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévio.";"";"1";"";"";"";"Ti_Tijuca_-_Fase_1_Tabela_tabela_tie_tijuca_-_fase_1_abril_2026.pdf";"https://www.orulo.com.br/buildings/28125"
