ID;Nome;Incorporadora;Bairro;Cidade;UF;Endereco;Status;Area_Min_m2;Area_Max_m2;Preco_Min;Preco_Max;Quartos;Suites;Vagas;Previsao_Entrega;Contato_Nome;Telefone;Email;WhatsApp;Comissao_PJ_%;Comissao_PF_%;Total_Unidades;Andares;Estoque;Data_Lancamento;Descricao;Website;Qtd_Arquivos;Apresentacoes;Books;Folders;Tabelas;URL_Orulo
"13006";"Porto Valência";"Dvalle Empreendimentos";"Meia Praia";"Itapema";"SC";"Rua 256.0 255";"Pronto novo";"131.8";"131.8";"1871236";"";"";"";"";"";"Luana	";"(47) 9927-6601";"contato@dvalleempreendimentos.com.br";"(47) 9927-6601";"";"";"48";"";"2";"01/03/2022";"O Porto Valência está em uma localização privilegiada, com quatro apartamentos por andar, um hall decorado e mais 550m² de lazer. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso prévi";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/13006"
"13140";"Porto Vila";"Dvalle Empreendimentos";"Meia Praia";"Itapema";"SC";"Rua 317.0 110";"Pronto novo";"182.5";"182.5";"4036401";"";"";"";"";"";"Luana	";"(47) 9927-6601";"contato@dvalleempreendimentos.com.br";"(47) 9927-6601";"";"";"22";"";"1";"01/10/2017";"Um empreendimento com ampla sacada, área de lazer mobiliada e decorada com revestimento interno em pastilhas e grafito. Conta com 4 suítes, sacada ampla com churrasqueira e áreas privativas de 182,50m";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/13140"
"17917";"Acrópole Residence";"Quatrinvest";"Quatro Ilhas";"Bombinhas";"SC";"Rua Ilha das Galés 322";"Pronto novo";"194.67";"205.76";"2717220.51";"";"";"";"";"";"Igor ";"(47) 99678-4029";"comercial@quatrinvestconstrutora.com.br";"(47) 99678-4029";"5";"";"21";"";"2";"01/12/2013";"O Acrópole é um empreendimento de alto padrão e sofisticado na praia de Quatro Ilhas, uma das únicas praias brasileiras que possuem Selo Azul. Coberturas com vista para o mar e para cidade de Bombinha";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/17917"
"19835";"Gaivotas Golden Residence";"Agnes Construção";"Ingleses do Rio Vermelho";"Florianópolis";"SC";"Rua Brisamar 142";"Pronto novo";"81.12";"104.39";"1420000";"";"";"";"";"";"Isabela";"(48) 9919-2518";"atendimento@agnesconstrucao.com";"(48) 9919-2518";"5";"";"59";"";"3";"01/08/2020";"O empreendimento foi desenvolvido pensando em proporcionar o máximo de benefício que o contato com a natureza pode oferecer em todas as áreas de convívio social. O Gaivotas Golden está a excelente loc";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/19835"
"19882";"Residencial Ilha de Citera";"Pires e Silva Construtora e Incorporadora";"Ingleses do Rio Vermelho";"Florianópolis";"SC";"Avenida Lions Internacional 130";"Pronto novo";"61.56";"83.53";"859000";"";"";"";"";"";"Pedro";"(48) 991020324";"pedro.eloi.pires@hotmail.com";"(48) 991020324";"";"";"30";"";"4";"01/04/2021";"Requinte e comodidade é o que o Residencial Ilha de Citera tem a oferecer. Apartamentos com 2 e 3 dormitórios, churrasqueira a carvão, vaga de garagem coberta e as mais diversas configurações para sua";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/19882"
"20247";"Marlim Branco";"Schürmann Construtora";"Mariscal";"Bombinhas";"SC";"Rua Citrino 65";"Pronto novo";"157.1";"158.1";"1850000";"";"";"";"";"";"Wania";"(47) 9223-6993";"";"(47) 9223-6993";"";"";"9";"";"3";"01/03/2019";"O Marlim Branco é a opção ideal para quem deseja exclusividade: são apenas nove unidades, com plantas estudadas cuidadosamente desenhadas para atender a diferentes necessidades. Elas foram planejadas ";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/20247"
"20279";"Badejo Residencial";"Schürmann Construtora";"Canto Grande";"Bombinhas";"SC";"Rua Angelim 245";"Pronto novo";"96.7";"118.6";"1385000";"";"";"";"";"";"Wania";"(47) 9223-6993";"";"(47) 9223-6993";"";"";"23";"";"5";"01/08/2020";"Com apenas 23 unidades, o Badejo dispõe de diferentes plantas e configurações, adequando-se às diferentes necessidades familiares. As coberturas Duplex têm áreas íntima e social separadas, tornando a ";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/20279"
"20709";"Home Cacupé";"Lumis Construtora";"Cacupé";"Florianópolis";"SC";"Estrada Haroldo Soares Glavan 795";"Pronto novo";"71";"125.88";"1292135.11";"";"";"";"";"";"Mack Carvalho";"(48) 99855-5454";"marcelo.rocha@grupolumis.com.br";"(48) 99855-5454";"4.5";"";"60";"";"6";"15/05/2021";"O Home Cacupé se localiza no epicentro de uma das regiões mais desejadas de Florianópolis. Entre as pérolas gastronômicas de Santo Antonio de Lisboa e o alto padrão de João Paulo. Quem caminha pelo Ca";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/20709"
"20710";"Altos do Jardim";"Lumis Construtora";"Jardim Janaína";"Biguaçu";"SC";"Rua Homero de Miranda Gomes 2072";"Pronto novo";"360";"864.11";"314710.71";"";"";"";"";"";"Mack Carvalho";"(48) 99855-5454";"marcelo.rocha@grupolumis.com.br";"(48) 99855-5454";"4.5";"";"156";"";"4";"21/04/2018";"Um empreendimento que lhe dá liberdade de escolher o melhor para você e a sua família. Assim é o Altos do Jardim Residencial. O residencial conta com 156 terrenos, opções com vista para o mar, viabili";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/20710"
"20735";"Now by Lumis - Residencial";"Lumis Construtora";"Estreito";"Florianópolis";"SC";"Rua Araci Vaz Callado 1514";"Pronto novo";"111.55";"111.55";"1401211.13";"";"";"";"";"";"Mack Carvalho";"(48) 99855-5454";"marcelo.rocha@grupolumis.com.br";"(48) 99855-5454";"4.5";"";"106";"";"1";"01/09/2019";"O Now Residence traz soluções sofisticadas de eficiência de espaços que otimizam tempo, dispensam deslocamentos e elevam a qualidade de vida de uma forma única. Integramos o viver, o conviver, o traba";"";"1";"";"";"";"";"https://www.orulo.com.br/buildings/20735"
