ID;Nome;Incorporadora;Bairro;Cidade;UF;Endereco;Status;Area_Min_m2;Area_Max_m2;Preco_Min;Preco_Max;Quartos;Suites;Vagas;Previsao_Entrega;Contato_Nome;Telefone;Email;WhatsApp;Comissao_PJ_%;Comissao_PF_%;Total_Unidades;Andares;Estoque;Data_Lancamento;Descricao;Website;Qtd_Arquivos;Apresentacoes;Books;Folders;Tabelas;URL_Orulo
"1177";"Ext Campo Belo";"Exto";"Campo Belo";"São Paulo";"SP";"Avenida Vereador José Diniz 3130";"Pronto novo";"69.97";"69.97";"740000";"";"";"";"";"";"Alexandre Oliveira";"(11) 99901-4188";"alexandre.oliveira@exto.com.br";"(11) 99901-4188";"6";"5";"164";"";"1";"01/11/2014";"Um empreendimento criado para pessoas interessantes, trazendo atmos­fera única de bem-estar, bons momentos e plena comodidade no dia a dia. O estilo urbano em configuração extraordinária. Traz diferen";"";"1";"";"";"";"Ext_Campo_Belo_Tabela_tabela_ext_campo_belo_abril_2026.pdf";"https://www.orulo.com.br/buildings/1177"
"1214";"CGH Aeroporto Offices";"Setin SP";"Aeroporto";"São Paulo";"SP";"Rua Baronesa de Bela Vista 411";"Pronto novo";"38.29";"64.91";"367019";"";"";"";"";"";"Monteiro";"(11) 98295-7030";"monteiro@conexaosetin.com.br";"(11) 98295-7030";"5";"3";"209";"";"19";"01/06/2012";"Salas comerciais modernas e bem desenhadas, a 200 m do embarque do Aeroporto de Congonhas. Neste lançamento seus negócios têm tudo para decolar, com a oportunidade de ter um escritório com saída fácil";"";"1";"";"";"";"CGH_Aeroporto_Offices_Tabela_tabela_cgh_aeroporto_offices_abril_2026.pdf";"https://www.orulo.com.br/buildings/1214"
"1274";"Converge Boulevard Office Mall";"Exto";"Lapa";"São Paulo";"SP";"Rua Clélia 2208";"Pronto novo";"28.85";"40.12";"409243.55";"";"";"";"";"";"Alexandre Oliveira";"(11) 99901-4188";"alexandre.oliveira@exto.com.br";"(11) 99901-4188";"4";"3";"218";"";"7";"01/09/2013";"Um projeto de integração comercial surpreendente interligado a todas as comodidades urbanas da zona oeste. Entre as ruas Clélia e Faustolo, o Converge tem projeto autêntico que valoriza a comodidade, ";"";"1";"";"";"";"Converge_Boulevard_Office_Mall_Tabela_tabela_converge_boulevard_office_mall_abril_2026.pdf";"https://www.orulo.com.br/buildings/1274"
"1293";"Vita Bom Retiro - Residencial";"Vitacon";"Bom Retiro";"São Paulo";"SP";"Rua Anhaia 871";"Pronto novo";"14.9";"14.9";"320307.9";"";"";"";"";"";"Vitacon Parcerias";"(11) 97506-5592";"parceiros@vitacon.com.br";"(11) 97506-5592";"4";"3";"269";"";"1";"08/12/2015";"Apartamentos de 14 a 60m², inspirados em studios de Nova York, Londres e Tóquio. Para quem valoriza o essencial, com muito conforto. Preço e disponibilidade do imóvel sujeitos a alteração sem aviso pr";"";"1";"";"";"";"Vita_Bom_Retiro_-_Residencial_Tabela_tabela_vita_bom_retiro_-_residencial_abril_2026.pdf";"https://www.orulo.com.br/buildings/1293"
"1400";"Airport Offices";"Even SP";"Campo Belo";"São Paulo";"SP";"Rua Vieira de Morais 2110";"Pronto novo";"38.5";"39";"343124";"";"";"";"";"";"Alessandra";"(11) 99948-9691";"Alessandra@parceriaseven.com.br";"(11) 99948-9691";"5.8";"3";"157";"";"3";"01/04/2011";"Perto de todas as cidades do Brasil. E em uma das melhores localizações de São Paulo, próximo a importantes vias de acesso e aos principais centros empresariais da cidade: Av. Paulista, Av. Brig. Fari";"";"1";"";"";"";"Airport_Offices_Tabela_tabela_airport_offices_abril_2026.pdf";"https://www.orulo.com.br/buildings/1400"
"1631";"RG Domingos";"Exto";"Morumbi";"São Paulo";"SP";"Rua Domingos Lopes da Silva 911";"Pronto novo";"58.11";"58.11";"747000";"";"";"";"";"";"Alexandre Oliveira";"(11) 99901-4188";"alexandre.oliveira@exto.com.br";"(11) 99901-4188";"6";"5";"132";"";"2";"01/12/2014";"Na região do Morumbi Nobre está nascendo um empreendimento único, localizado na rua Domingos Lopes, com apartamentos de 38m² e 58m², ao lado da praça dos cachorros, com lazer completo e quadra de têni";"";"1";"";"";"";"RG_Domingos_Tabela_tabela_rg_domingos_abril_2026.pdf";"https://www.orulo.com.br/buildings/1631"
"1634";"RG Oscar";"Exto";"Morumbi";"São Paulo";"SP";"Rua Doutor Oscar Monteiro de Barros 434";"Pronto novo";"142.37";"142.37";"1212541.91";"";"";"";"";"";"Alexandre Oliveira";"(11) 99901-4188";"alexandre.oliveira@exto.com.br";"(11) 99901-4188";"4";"3";"150";"";"1";"01/12/2014";"Na região do Morumbi Nobre está nascendo um empreendimento único: São dois lançamentos simultâneos, com quatro opções de metragens, que serão erguidos em terrenos com excepcional localização. Este emp";"";"1";"";"";"";"RG_Oscar_Tabela_tabela_rg_oscar_abril_2026.pdf";"https://www.orulo.com.br/buildings/1634"
"1707";"ADmaisD Jardim Paulista";"Setin SP";"Jardim Paulista";"São Paulo";"SP";"Rua Suzano 100";"Pronto novo";"315.76";"315.76";"6840930.34";"";"";"";"";"";"Monteiro";"(11) 98295-7030";"monteiro@conexaosetin.com.br";"(11) 98295-7030";"5";"3";"14";"";"1";"01/12/2017";"Um lugar inspirado no seu desejo de estar bem e viver melhor. Estar bem localizado é um privilégio. No lado residencial mais nobre dos Jardins, ladeado pelo Itaim e pelo Parque Ibirapuera, o empreendi";"";"1";"";"";"";"ADmaisD_Jardim_Paulista_Tabela_tabela_admaisd_jardim_paulista_marco_2026.pdf";"https://www.orulo.com.br/buildings/1707"
"1727";"Haddock Offices";"Even SP";"Consolação";"São Paulo";"SP";"Rua Haddock Lobo 131";"Pronto novo";"39.82";"39.82";"420053";"";"";"";"";"";"Alessandra";"(11) 99948-9691";"Alessandra@parceriaseven.com.br";"(11) 99948-9691";"5.8";"3";"165";"";"2";"01/07/2012";"Seu escritório com o estiloe a sofisticação dos jardins. Coloque sua empresa no ponto mais privilegiado da cidade. A duas quadras da Av. Paulista. Preço e disponibilidade do imóvel sujeitos a alteraçã";"";"1";"";"";"";"Haddock_Offices_Tabela_tabela_haddock_offices_abril_2026.pdf";"https://www.orulo.com.br/buildings/1727"
"1740";"Ext Praça Morumbi";"Exto";"Morumbi";"São Paulo";"SP";"Rua Francisco José Da Silva 438";"Pronto novo";"58.11";"96.17";"632244.76";"";"";"";"";"";"Alexandre Oliveira";"(11) 99901-4188";"alexandre.oliveira@exto.com.br";"(11) 99901-4188";"4";"3";"164";"";"4";"01/11/2015";"Em uma rua privilegiada, rodeada de muito verde e a poucos metros dos Shoppings Jardim Sul e Morumbi Town, o empreendimento traz tranquilidade e todas as opções de lazer que você precisa. Preço e disp";"";"1";"";"";"";"Ext_Praa_Morumbi_Tabela_tabela_ext_praca_morumbi_abril_2026.pdf";"https://www.orulo.com.br/buildings/1740"
